Typhoon,NURI,3,20:40,21-Aug-08,7:40,22-Aug-08,11 00
Typhoon,NURI,8 NW,7:40,22-Aug-08,13:40,22-Aug-08,06 00
Typhoon,NURI,9,13:40,22-Aug-08,0:40,23-Aug-08,11 00
Typhoon,NURI,8 SW,0:40,23-Aug-08,2:40,23-Aug-08,02 00
Typhoon,NURI,3,2:40,23-Aug-08,9:40,23-Aug-08,07 00
Typhoon,NURI,1,9:40,23-Aug-08,11:15,23-Aug-08,01 35
Typhoon (Severe Typhoon),HAGUPIT,1,18:40,22-Sep-08,10:25,23-Sep-08,15 45
Typhoon (Severe Typhoon),HAGUPIT,3,10:25,23-Sep-08,18:00,23-Sep-08,07 35
Typhoon (Severe Typhoon),HAGUPIT,8 NE,18:00,23-Sep-08,0:40,24-Sep-08,06 40
Typhoon (Severe Typhoon),HAGUPIT,8 SE,0:40,24-Sep-08,6:30,24-Sep-08,05 50
Typhoon (Severe Typhoon),HAGUPIT,3,6:30,24-Sep-08,12:50,24-Sep-08,06 20
Tropical Storm,HIGOS,1,19:30,2-Oct-08,22:30,4-Oct-08,51 00
Severe Tropical Storm,LINFA,1,10:40,20-Jun-09,5:45,21-Jun-09,19 05
Tropical Storm,NANGKA,1,7:15,26-Jun-09,15:40,26-Jun-09,08 25
Tropical Storm,NANGKA,3,15:40,26-Jun-09,5:25,27-Jun-09,13 45
Tropical Storm,SOUDELOR,1,16:45,10-Jul-09,13:25,11-Jul-09,20 40
Tropical Storm,SOUDELOR,3,13:25,11-Jul-09,21:15,11-Jul-09,07 50
Tropical Storm,SOUDELOR,1,21:15,11-Jul-09,5:20,12-Jul-09,08 05
Typhoon,MOLAVE,1,22:15,17-Jul-09,14:15,18-Jul-09,16 00
Typhoon,MOLAVE,3,14:15,18-Jul-09,23:30,18-Jul-09,09 15
Typhoon,MOLAVE,8 NW,23:30,18-Jul-09,1:30,19-Jul-09,02 00
Typhoon,MOLAVE,9,1:30,19-Jul-09,4:40,19-Jul-09,03 10
Typhoon,MOLAVE,8 SW,4:40,19-Jul-09,6:40,19-Jul-09,02 00
Typhoon,MOLAVE,3,6:40,19-Jul-09,10:40,19-Jul-09,04 00
Typhoon,MOLAVE,1,10:40,19-Jul-09,13:15,19-Jul-09,02 35
Severe Tropical Storm,GONI,1,15:15,3-Aug-09,11:15,4-Aug-09,20 00
Severe Tropical Storm,GONI,3,11:15,4-Aug-09,21:40,4-Aug-09,10 25
Severe Tropical Storm,GONI,8 SE,21:40,4-Aug-09,3:40,5-Aug-09,06 00
Severe Tropical Storm,GONI,3,3:40,5-Aug-09,5:40,5-Aug-09,02 00
Severe Tropical Storm,GONI,1,5:40,5-Aug-09,16:00,5-Aug-09,10 20
Tropical Storm,MUJIGAE,1,4:35,10-Sep-09,14:35,10-Sep-09,10 00
Tropical Storm,MUJIGAE,3,14:35,10-Sep-09,3:35,11-Sep-09,13 00
Tropical Storm,MUJIGAE,1,3:35,11-Sep-09,6:25,11-Sep-09,02 50
Typhoon,KOPPU,1,20:35,13-Sep-09,11:15,14-Sep-09,14 40
Typhoon,KOPPU,3,11:15,14-Sep-09,17:55,14-Sep-09,06 40
Typhoon,KOPPU,8 NE,17:55,14-Sep-09,0:35,15-Sep-09,06 40
Typhoon,KOPPU,8 SE,0:35,15-Sep-09,10:15,15-Sep-09,09 40
Typhoon,KOPPU,3,10:15,15-Sep-09,13:35,15-Sep-09,03 20
Typhoon,KOPPU,1,13:35,15-Sep-09,15:40,15-Sep-09,02 05
Typhoon,KETSANA,1,22:15,27-Sep-09,19:15,28-Sep-09,21 00
Typhoon,CONSON,1,19:20,15-Jul-10,21:15,16-Jul-10,25 55
Typhoon,CHANTHU,1,12:15,20-Jul-10,16:40,21-Jul-10,28 25
Typhoon,CHANTHU,3,16:40,21-Jul-10,11:40,22-Jul-10,19 00
Typhoon,CHANTHU,1,11:40,22-Jul-10,14:40,22-Jul-10,03 00
Severe Tropical Storm,LIONROCK,1,10:35,29-Aug-10,19:10,30-Aug-10,32 35
Severe Tropical Storm,LIONROCK,1,20:40,2-Sep-10,16:40,3-Sep-10,20 00
Severe Typhoon,FANAPI,1,16:35,19-Sep-10,16:05,20-Sep-10,23 30
Severe Typhoon,FANAPI,3,16:05,20-Sep-10,7:35,21-Sep-10,15 30
Super Typhoon,MEGI,1,16:35,20-Oct-10,5:40,21-Oct-10,13 05
Super Typhoon,MEGI,3,5:40,21-Oct-10,18:05,22-Oct-10,36 25
Super Typhoon,MEGI,1,18:05,22-Oct-10,20:40,22-Oct-10,02 35
Tropical Storm,SARIKA,1,9:40,10-Jun-11,7:15,11-Jun-11,21 35
Tropical Storm,HAIMA,1,21:35,20-Jun-11,5:45,22-Jun-11,32 10
Tropical Storm,HAIMA,3,5:45,22-Jun-11,10:25,23-Jun-11,28 40
Tropical Storm,HAIMA,1,10:25,23-Jun-11,20:45,23-Jun-11,10 20
Severe Tropical Storm,NOCK-TEN,1,8:40,28-Jul-11,18:45,28-Jul-11,10 05
Severe Tropical Storm,NOCK-TEN,3,18:45,28-Jul-11,14:10,29-Jul-11,19 25
Severe Tropical Storm,NOCK-TEN,1,14:10,29-Jul-11,16:40,29-Jul-11,02 30
Typhoon,NESAT,1,22:40,27-Sep-11,17:20,28-Sep-11,18 40
Typhoon,NESAT,3,17:20,28-Sep-11,4:40,29-Sep-11,11 20
Typhoon,NESAT,8 SE,4:40,29-Sep-11,16:10,29-Sep-11,11 30
Typhoon,NESAT,3,16:10,29-Sep-11,0:20,30-Sep-11,08 10
Typhoon,NESAT,1,0:20,30-Sep-11,6:25,30-Sep-11,06 05
Severe Typhoon,NALGAE,1,10:40,2-Oct-11,6:40,3-Oct-11,20 00
Severe Typhoon,NALGAE,3,6:40,3-Oct-11,19:10,3-Oct-11,12 30
Severe Tropical Storm,TALIM,1,16:20,17-Jun-12,22:40,18-Jun-12,30 20
Severe Tropical Storm,TALIM,3,22:40,18-Jun-12,10:20,19-Jun-12,11 40
Severe Tropical Storm,TALIM,1,10:20,19-Jun-12,20:40,19-Jun-12,10 20
Tropical Storm,DOKSURI,1,21:40,28-Jun-12,16:20,29-Jun-12,18 40
Tropical Storm,DOKSURI,3,16:20,29-Jun-12,23:05,29-Jun-12,06 45
Tropical Storm,DOKSURI,8 NE,23:05,29-Jun-12,0:40,30-Jun-12,01 35
Tropical Storm,DOKSURI,8 SE,0:40,30-Jun-12,3:25,30-Jun-12,02 45
Tropical Storm,DOKSURI,3,3:25,30-Jun-12,6:40,30-Jun-12,03 15
Tropical Storm,DOKSURI,1,6:40,30-Jun-12,8:15,30-Jun-12,01 35
Severe Typhoon,VICENTE,1,15:40,21-Jul-12,5:20,23-Jul-12,37 40
